date,Auto-Deleveraging,Buy,Close Long,Close Short,Liquidated Isolated Short,Long > Short,Open Long,Open Short,Sell,Settlement,Short > Long,Spot Dust Conversion,long_short_ratio
2023-05-01,0,0,0,0,0,0,3,0,0,0,0,0,0.0
2023-12-05,0,0,0,0,0,0,7,2,0,0,0,0,0.0
2023-12-14,0,0,4,2,0,0,3,2,0,0,0,0,0.0
2023-12-15,0,0,0,2,0,0,0,0,0,0,0,0,0.0
2023-12-16,0,0,0,0,0,0,3,0,0,0,0,0,0.0
2023-12-17,0,0,11,0,0,0,3,0,0,0,0,0,0.0
2023-12-18,0,0,0,0,0,0,2,0,0,0,0,0,0.0
2023-12-19,0,0,10,0,0,0,5,0,0,0,0,0,0.0
2023-12-20,0,0,8,0,0,0,10,0,0,0,0,0,0.0
2023-12-21,0,0,27,0,0,0,22,0,0,0,0,0,0.0
2023-12-22,0,0,2,0,0,0,8,0,0,0,0,0,0.0
2023-12-23,0,0,8,0,0,0,5,0,0,0,0,0,0.0
2023-12-24,0,0,14,3,0,0,18,4,0,0,0,0,0.0
2023-12-25,0,0,1,0,0,0,2,0,0,0,0,0,0.0
2023-12-27,0,0,13,0,0,0,15,0,0,0,0,0,0.0
2023-12-28,0,0,13,0,0,0,10,0,0,0,0,0,0.0
2023-12-29,0,0,13,7,0,0,24,6,0,0,0,0,0.0
2023-12-30,0,0,24,9,0,0,11,8,0,0,0,0,0.0
2024-01-01,0,0,5,1,0,0,9,3,0,0,0,0,0.0
2024-01-02,0,0,0,9,0,0,0,8,0,0,0,0,0.0
2024-01-03,0,0,35,0,0,0,32,0,0,0,0,0,0.0
2024-01-04,0,0,3,0,0,0,2,0,0,0,0,0,0.0
2024-01-05,0,0,17,6,0,0,25,18,0,0,0,0,0.0
2024-01-06,0,0,10,2,0,0,9,1,0,0,0,0,0.0
2024-01-07,0,0,32,5,0,0,47,13,0,0,0,0,0.0
2024-01-08,0,0,54,13,0,0,27,34,0,0,0,0,0.0
2024-01-09,0,0,25,3,0,0,25,17,0,0,0,0,0.0
2024-01-10,0,0,47,36,0,0,56,54,0,0,0,0,0.0
2024-01-11,0,0,4,5,0,0,8,4,0,0,0,0,0.0
2024-01-12,0,0,2,0,0,0,5,0,0,0,0,0,0.0
2024-01-15,0,0,9,0,0,0,5,0,0,0,0,0,0.0
2024-01-16,0,0,5,0,0,0,4,0,0,0,0,0,0.0
2024-01-17,0,0,8,11,0,0,20,14,0,0,0,0,0.0
2024-01-18,0,0,6,3,0,0,15,22,0,0,0,0,0.0
2024-01-19,0,0,13,13,0,1,18,3,0,0,0,0,0.0
2024-01-20,0,0,17,15,0,0,45,29,0,0,0,0,0.0
2024-01-21,0,0,3,2,0,0,1,5,0,0,0,0,0.0
2024-01-22,0,0,20,21,0,0,30,14,0,0,0,0,0.0
2024-01-23,0,0,7,13,0,0,20,5,0,0,0,0,0.0
2024-01-24,0,0,27,13,0,0,14,14,0,0,0,0,0.0
2024-01-25,0,0,6,0,0,0,0,0,0,0,0,0,0.0
2024-01-26,0,0,1,0,0,0,4,0,0,0,0,0,0.0
2024-01-28,0,0,11,0,0,0,0,0,0,0,0,0,0.0
2024-01-29,0,0,35,10,0,0,11,18,0,0,0,0,0.0
2024-01-30,0,0,5,14,0,0,14,16,0,0,0,0,0.0
2024-01-31,0,0,187,250,0,1,219,201,0,0,1,0,0.0
2024-02-01,0,0,0,0,0,0,6,0,0,0,0,0,0.0
2024-02-02,0,0,15,6,0,0,13,8,0,0,0,0,0.0
2024-02-03,0,0,6,6,0,0,12,32,0,0,0,0,0.0
2024-02-04,0,0,16,12,0,0,7,0,0,0,0,0,0.0
2024-02-05,0,0,23,9,0,0,24,16,0,0,0,0,0.0
2024-02-06,0,0,262,247,0,8,262,300,0,0,9,0,0.0
2024-02-07,0,0,0,2,0,0,5,8,0,0,0,0,0.0
2024-02-08,0,0,3,1,0,0,1,5,0,0,0,0,0.0
2024-02-11,0,0,3,4,0,0,19,8,0,0,0,0,0.0
2024-02-12,0,0,4,11,0,0,0,1,0,0,0,0,0.0
2024-02-13,0,0,14,0,0,0,0,0,0,0,0,0,0.0
2024-02-14,0,0,62,22,0,0,12,15,0,0,0,0,0.0
2024-02-15,0,0,8,52,0,0,0,3,0,0,0,0,0.0
2024-02-16,0,0,46,100,0,0,15,21,0,0,0,0,0.0
2024-02-17,0,0,42,23,0,0,27,2,0,0,0,0,0.0
2024-02-18,0,0,56,12,0,0,26,3,0,0,0,0,0.0
2024-02-19,0,0,47,31,0,0,9,13,0,0,1,0,0.0
2024-02-20,0,0,24,8,0,0,5,2,0,0,0,0,0.0
2024-02-21,0,0,15,0,0,0,7,0,0,0,0,0,0.0
2024-02-22,0,0,52,0,0,1,34,0,0,0,1,0,0.0
2024-02-23,0,0,9,129,0,0,2,3,0,0,0,0,0.0
2024-02-25,0,0,0,2,0,0,0,3,0,0,0,0,0.0
2024-02-26,0,0,8,26,0,0,1,4,0,0,0,0,0.0
2024-02-27,0,0,20,30,0,0,3,10,0,0,0,0,0.0
2024-02-28,0,0,10,29,0,0,2,4,0,0,0,0,0.0
2024-02-29,0,0,42,57,0,1,3,13,0,0,0,0,0.0
2024-03-01,0,0,99,29,0,0,8,1,0,0,0,0,0.0
2024-03-02,0,0,1,27,0,0,1,2,0,0,0,0,0.0
2024-03-03,0,0,39,15,0,0,21,4,0,0,0,0,0.0
2024-03-04,0,0,129,141,0,0,20,10,0,0,0,0,0.0
2024-03-05,0,0,120,43,0,0,12,5,0,0,0,0,0.0
2024-03-06,0,0,26,46,0,0,3,7,0,0,0,0,0.0
2024-03-08,0,0,44,15,0,0,4,4,0,0,0,0,0.0
2024-03-09,0,0,25,82,0,0,1,9,0,0,0,0,0.0
2024-03-10,0,0,0,38,0,0,0,4,0,0,0,0,0.0
2024-03-11,0,0,28,11,0,0,1,2,0,0,0,0,0.0
2024-03-12,0,0,7,0,0,0,1,0,0,0,0,0,0.0
